run_id,space,perturbation,n_pred_cells,n_real_cells,pearson_delta,spearman_delta,rmse_delta,mae_delta,cosine_delta,uer20,uer50,uer100,sign_flip_rate,null_source,null_status,bns_status
S1_norman_l1,gears_raw,PTPN13,226,226,0.5337074398994446,0.22552522422686222,0.03817707300186157,0.012820655480027199,0.5341101288795471,0.0,0.0,0.01,0.16205533596837945,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,RUNX1T1,631,631,0.07300205528736115,0.09659539768807235,0.037106968462467194,0.011926107108592987,0.07452452182769775,0.0,0.0,0.02,0.3201581027667984,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,S1PR2,446,446,0.5824623107910156,0.2233177366336097,0.04610320180654526,0.013786783441901207,0.5826070308685303,0.0,0.02,0.01,0.12648221343873517,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,SET,512,512,0.25290924310684204,0.14126714511394986,0.07168407738208771,0.021416861563920975,0.2515527009963989,0.0,0.0,0.0,0.31620553359683795,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,SGK1,446,446,0.7352942228317261,0.30381063011912207,0.0339684896171093,0.011018004268407822,0.7352224588394165,0.0,0.0,0.01,0.08695652173913043,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,SLC4A1,853,853,0.25830239057540894,0.0776286968448625,0.057119861245155334,0.017366282641887665,0.25372016429901123,0.0,0.0,0.0,0.3241106719367589,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,TP73,218,218,0.7647997140884399,0.37186631864750513,0.10021189600229263,0.028897522017359734,0.7651897072792053,0.0,0.0,0.0,0.05138339920948617,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,UBASH3B,513,513,0.6617344617843628,0.1850474413934231,0.027439266443252563,0.010024834424257278,0.6589944958686829,0.0,0.0,0.0,0.20553359683794467,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S2_norman_l2,audit_delta,BCL2L11,463,463,0.13126935064792633,0.016771773235682495,0.04147513583302498,0.015322078950703144,0.12212377786636353,0.0,0.0,0.01,0.4901185770750988,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S2_norman_l2,audit_delta,BCL2L11+TGFBR2,382,382,0.13861478865146637,-0.009361007515906405,0.041567642241716385,0.01471681334078312,0.12982505559921265,0.0,0.0,0.01,0.5059288537549407,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S2_norman_l2,audit_delta,BCORL1,456,456,0.38123661279678345,0.16230619835290347,0.043578434735536575,0.015428907237946987,0.37808895111083984,0.0,0.0,0.0,0.22134387351778656,median_abs_audit_delta,sensitivity_only,UNVERIFIED
